Registration,FleetNo,Type
MX58EBG,VW661,Volvo B9TL Gemini
MX58EBF,VW662,Volvo B9TL Gemini
MF74NLP,WDS226,StreetDeck
MF74NLR,WDS227,StreetDeck
MF74NLT,WDS228,StreetDeck
MF74NLU,WDS229,StreetDeck
MF74NLV,WDS230,StreetDeck
MF74NLX,WDS231,StreetDeck
MF74NLY,WDS232,StreetDeck
MF74NLZ,WDS233,StreetDeck
MF74NMA,WDS234,StreetDeck
MF74NME,WDS235,StreetDeck
MF74NMJ,WDS236,StreetDeck
MF74NMK,WDS237,StreetDeck
MF74NMM,WDS238,StreetDeck
MF74NMO,WDS239,StreetDeck
MF74NMU,WDS240,StreetDeck
MF74NMV,WDS241,StreetDeck
MF74NMX,WDS242,StreetDeck
MF74NMY,WDS243,StreetDeck
MF74NMZ,WDS244,StreetDeck
MF74NNB,WDS245,StreetDeck
MF74NNC,WDS246,StreetDeck
MF74NND,WDS247,StreetDeck
MF74NNG,WDS248,StreetDeck
MF74NNH,WDS249,StreetDeck
MF74NNJ,WDS250,StreetDeck
MF74NNK,WDS251,StreetDeck
MF74NNL,WDS252,StreetDeck
MF74NNM,WDS253,StreetDeck
MF74NNO,WDS254,StreetDeck
MF74NNP,WDS255,StreetDeck
MF74NNR,WDS256,StreetDeck
MF74NNT,WDS257,StreetDeck
MF74NNU,WDS258,StreetDeck
MF74NNV,WDS259,StreetDeck
MF74NNW,WDS260,StreetDeck
MF74NNX,WDS261,StreetDeck
MF74NNZ,WDS262,StreetDeck
MF74NOH,WDS263,StreetDeck
MF74NOU,WDS264,StreetDeck
MF74NPA,WDS265,StreetDeck
MF74NPC,WDS266,StreetDeck
MF74NPD,WDS267,StreetDeck
MF74NPE,WDS268,StreetDeck
MF74NPG,WDS269,StreetDeck
MF74NPJ,WDS270,StreetDeck
MF74NPK,WDS271,StreetDeck
MF74NPN,WDS272,StreetDeck
MF74NPO,WDS273,StreetDeck
MF74NPP,WDS274,StreetDeck
MF74NPU,WDS275,StreetDeck
MF74NPV,WDS276,StreetDeck
MF74NPX,WDS277,StreetDeck
MF74NPY,WDS278,StreetDeck
MF74NPZ,WDS279,StreetDeck
MF74NRE,WDS280,StreetDeck
MF74NRJ,WDS281,StreetDeck
MF74NRK,WDS282,StreetDeck
MF74NRL,WDS283,StreetDeck
MF74NRN,WDS284,StreetDeck
MF74NRO,WDS285,StreetDeck
MF74NRU,WDS286,StreetDeck
MF74NRV,WDS287,StreetDeck
MF74NRX,WDS288,StreetDeck
MF74NRY,WDS289,StreetDeck
MF74NRZ,WDS290,StreetDeck
MF74NSE,WDS291,StreetDeck
MF74NSJ,WDS292,StreetDeck
MF74NSK,WDS293,StreetDeck
MF74NSN,WDS294,StreetDeck
MF74NSO,WDS295,StreetDeck
MF74NSU,WDS296,StreetDeck
MF74NSV,WDS297,StreetDeck
MF74NSY,WDS298,StreetDeck
MF74NSZ,WDS299,StreetDeck
MF74NTA,WDS300,StreetDeck
MF74NUJ,WDS301,StreetDeck
MF74NUK,WDS302,StreetDeck
MF74NUM,WDS303,StreetDeck
MF74NUO,WDS304,StreetDeck
MF74NUP,WDS305,StreetDeck
MJ74JKV,WDS306,StreetDeck
MJ74JKX,WDS307,StreetDeck
MJ74JKY,WDS308,StreetDeck
MJ74JKZ,WDS309,StreetDeck
MJ74JLO,WDS310,StreetDeck
MJ74JLU,WDS311,StreetDeck
MJ74JLV,WDS312,StreetDeck
MJ74JLX,WDS313,StreetDeck
MJ74JMO,WDS314,StreetDeck
MJ74JMU,WDS315,StreetDeck
MJ74JMV,WDS316,StreetDeck
MJ74JMX,WDS317,StreetDeck
MJ74JNF,WDS318,StreetDeck
MJ74JNK,WDS319,StreetDeck
MJ74JNL,WDS320,StreetDeck
MJ74JNN,WDS321,StreetDeck
MJ74JNO,WDS322,StreetDeck
MJ74JNU,WDS323,StreetDeck
MJ74JNV,WDS324,StreetDeck
MJ74JNX,WDS325,StreetDeck
MJ74JNZ,WDS326,StreetDeck
MJ74JOA,WDS327,StreetDeck
MJ74JOH,WDS328,StreetDeck
MJ74JOU,WDS329,StreetDeck
MJ74JOV,WDS330,StreetDeck
MJ74JPF,WDS331,StreetDeck
